(1, Car, MAF505, 20, 29/10/2021-20:07)
(2, Car, MFA124, 20, 29/10/2021-20:07)
(3, MC, AFG123, 10, 29/10/2021-20:08)
(1, Car, MAF505, 20, 01/11/2021-17:31)
(1, Car, MAF505, 20, 01/11/2021-17:31)
(1, Car, MAF505, 20, 01/11/2021-17:36)
(2, Car, MAF450, 20, 01/11/2021-17:36)
(1, Car, MAF505, 20, 01/11/2021-17:38)
(2, Car, MAF450, 20, 01/11/2021-17:38)
(1, Car, MAF505, 20, 01/11/2021-17:40)
(2, Car, MAF450, 20, 01/11/2021-17:41)
(3, MC, ABC123, 10, 01/11/2021-17:41)
(1, Car, MAF505, 20, 01/11/2021-17:43)
(2, Car, MAF450, 20, 01/11/2021-17:43)
(1, Car, MAF505, 20, 01/11/2021-17:58)
(1, Car, MAF505, 20, 01/11/2021-17:59)
(1, Car, MAF505, 20, 01/11/2021-18:08)
(1, Car, MAF505, 20, 01/11/2021-18:13)
(1, Car, MAF505, 20, 01/11/2021-20:44)
(1, Car, MAF505, 20, 01/11/2021-21:11)
(1, Car, MAF505, 20, 01/11/2021-22:07)
(1, Car, MAF505, 20, 01/11/2021-22:09)
(1, Car, MAF505, 20, 01/11/2021-22:12)
